time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
31,8,31744,3914,-0.01758967898786068,0.2,120,-1.6541211158037186,-0.0008813278473098762,0.0003,0.0,0.0022714105,0.9197317957878113,0.00034668599710130366,314.0412371134021,0.03591064948453609
32,8,32768,3949,-0.023211849853396416,0.2,124,-1.6668845042586327,-0.001764294836902991,0.0003,0.0,0.0029543815,0.9084774255752563,0.000220644190449093,312.26,0.04161111
33,8,33792,3982,-0.020668119192123413,0.2,128,-1.6701592430472374,-0.0010799852025229484,0.0003,0.0,0.0025115141,0.4549592137336731,0.002537951590056764,308.05,0.055305549999999995
34,8,34816,4008,-0.016484813764691353,0.2,132,-1.626461736857891,-0.0025658884696895257,0.0003,0.00341796875,0.0047834115,0.30444931983947754,0.005789322414784692,307.45,0.05897222
35,8,35840,4030,-0.012797358445823193,0.2,136,-1.5555542707443237,0.00016171688184840605,0.0003,0.0,0.0012126856,0.8436120748519897,0.00043678696965798736,306.35,0.06302778
36,9,36864,4060,-0.02715434320271015,0.2,140,-1.5529544577002525,-0.003873628535075113,0.0003,0.0,0.008421314,0.22942793369293213,0.001378491593641229,304.68,0.06866667
37,9,37888,4080,-0.015233077108860016,0.2,144,-1.5318084806203842,-0.0015570285759167746,0.0003,0.018310546875,0.0043544555,0.6163749694824219,0.0010706839511840371,306.49,0.0636389
38,9,38912,4103,-0.035283591598272324,0.2,148,-1.517118163406849,-0.0055914982804097235,0.0003,0.0,0.007282785,0.7514228820800781,0.0004915058598271571,305.68,0.06788890000000002
39,9,39936,4132,-0.01279889140278101,0.2,152,-1.4800115749239922,0.0005921977863181382,0.0003,0.0,0.0029844716,0.7787960767745972,0.0003793572359427344,305.68,0.0678889
40,9,40960,4154,-0.02348305843770504,0.2,156,-1.5144223049283028,-0.002564395108493045,0.0003,0.01513671875,0.0038342953,0.5762956142425537,0.0003218663878215011,303.8,0.07411112
41,10,41984,4178,-0.0165947824716568,0.2,160,-1.5707199051976204,0.0004222010320518166,0.0003,0.0,0.00066796324,0.026792049407958984,0.00281256549351383,297.8,0.09277779000000001
42,10,43008,4195,-0.01603110507130623,0.2,164,-1.6045410856604576,-0.0005405094416346401,0.0003,0.00146484375,0.0015620883,0.21924597024917603,0.008553362858947366,297.8,0.09277779000000001
43,10,44032,4215,-0.011294897645711899,0.2,168,-1.6367983371019363,-0.0009816642123041674,0.0003,0.0,0.003382688,0.542188823223114,0.0007157019099395256,297.74,0.09394445999999998
44,10,45056,4232,-0.022479061037302017,0.2,172,-1.6453687399625778,-0.0008186012564692646,0.0003,0.0,0.0011840517,0.8509738445281982,0.0005420774050435284,297.67,0.09513889999999998
45,10,46080,4250,-0.015642335638403893,0.2,176,-1.6198356077075005,-0.00020296263392083347,0.0003,0.0,0.0007728213,0.8855762481689453,0.00030216824234230444,296.06,0.10161112000000001
46,11,47104,4269,-0.01930549368262291,0.2,180,-1.6587478294968605,-0.0013078433694317937,0.0003,0.0,0.0023352215,0.6965627074241638,0.0008377510584978154,294.44,0.10711112
47,11,48128,4286,-0.021259406581521034,0.2,184,-1.6545161977410316,-0.0013124964316375554,0.0003,0.0,0.002137316,0.27027225494384766,0.002012741220823955,292.94,0.11227779
48,11,49152,4298,-0.017287839204072952,0.2,188,-1.6057283505797386,-0.0011243827611906454,0.0003,0.0,0.0018158966,0.571509838104248,0.0011674499364744406,292.94,0.11227779
49,11,50176,4315,-0.012670312076807022,0.2,192,-1.5971646532416344,-0.002435563685139641,0.0003,0.0,0.0042446414,0.7810232043266296,9.093091921386076e-05,293.8,0.1088889
50,11,51200,4332,-0.023542247712612152,0.2,196,-1.5643758028745651,-0.003422099573072046,0.0003,0.0,0.0040735654,0.6905455589294434,0.0003614492152337334,292.57,0.11330557000000001
51,12,52224,4347,-0.01815415918827057,0.2,200,-1.6249239593744278,-0.00018606943194754422,0.0003,0.0,0.0010393586,0.668674647808075,0.000905180359040969,289.16,0.12477778999999999
52,12,53248,4363,-0.026615433394908905,0.2,204,-1.5648760497570038,-0.0016364811308449134,0.0003,0.00048828125,0.0033234067,0.5136281251907349,0.003123813759884797,289.16,0.12377778999999998
53,12,54272,4379,-0.020271506160497665,0.2,208,-1.515543632209301,-0.0019015607831533998,0.0003,0.0,0.0020900995,0.47289514541625977,0.0006449962929764297,285.96,0.13466669
54,12,55296,4394,-0.015653539448976517,0.2,212,-1.4911129474639893,-0.00033282252843491733,0.0003,0.0,0.00087927777,0.29223793745040894,0.007176886254455894,283.8,0.14166669
55,12,56320,4411,-0.013326536864042282,0.2,216,-1.4368179738521576,-0.001178163569420576,0.0003,0.0,0.002355354,0.411981463432312,0.0028002291946904734,283.8,0.14166669
56,12,57344,4428,-0.013706509955227375,0.2,220,-1.421590268611908,-0.0006218034977791831,0.0003,0.0,0.0017071143,0.6001105308532715,0.0004104967538296478,283.73,0.14286113
57,13,58368,4441,-0.011621428653597832,0.2,224,-1.5160889625549316,-0.0011637481220532209,0.0003,0.009033203125,0.003284658,0.6459334492683411,0.00042362856220279355,282.29,0.14686113
58,13,59392,4453,-0.01385632622987032,0.2,228,-1.5544823706150055,-0.0006403942097676918,0.0003,0.0,0.0007629951,0.6053308844566345,0.0025858647568384185,281.54,0.15094445
59,13,60416,4464,-0.02163914032280445,0.2,232,-1.5481977984309196,-0.0022649944730801508,0.0003,0.0,0.002482892,0.724152147769928,0.0013565286353696138,282.3,0.14883334
60,13,61440,4479,-0.01941615901887417,0.2,236,-1.5724905207753181,-0.00148531497688964,0.0003,0.0078125,0.0036312954,0.6205986738204956,0.0013286505309224594,282.3,0.14883334
61,13,62464,4494,-0.029117366299033165,0.2,240,-1.540610395371914,-0.006781362229958177,0.0003,0.017578125,0.011241822,0.8953157663345337,0.00014811871142228483,283.05,0.14675001
62,14,63488,4508,-0.015406341291964054,0.2,244,-1.3875123709440231,-0.0007296566618606448,0.0003,0.0,0.003151747,0.3659859299659729,0.0035756119759753346,283.55,0.14436112
63,14,64512,4519,-0.014325344935059547,0.2,248,-1.351861760020256,-0.0012212284200359136,0.0003,0.0,0.0011198311,0.959879457950592,0.00033910549336724216,282.42,0.14650000999999999
64,14,65536,4530,-0.016603225842118263,0.2,252,-1.3475441560149193,-0.0010747073392849416,0.0003,0.0,0.0006874982,0.591817319393158,0.002827571897796588,275.41,0.16697223
65,14,66560,4544,-0.009750371798872948,0.2,256,-1.3914883211255074,-0.0017441146192140877,0.0003,0.0068359375,0.0024518517,0.15590935945510864,0.009788257215404883,275.37,0.16808334000000003
66,14,67584,4556,-0.026401687413454056,0.2,260,-1.4189336076378822,-0.0036130011721979827,0.0003,0.0,0.004392838,0.7371422052383423,0.0010351273103879066,274.05,0.17275001
67,15,68608,4566,-0.018487727269530296,0.2,264,-1.403800405561924,-0.00018746481509879231,0.0003,0.0,0.0017709103,0.8606494665145874,0.0011926086153835058,274.53,0.17041668
68,15,69632,4570,-0.015677688643336296,0.2,268,-1.3563640713691711,-5.854549817740917e-05,0.0003,0.0,0.00020178524,0.6619892120361328,0.002337919249839615,274.3,0.17205557
