rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate
66.33333333333333,0.36966666666666664,0,1409,1,1024,,,,,,,,,,
72.375,0.3027916666666666,0,2317,2,2048,-0.14240169525146484,-0.005840122699737549,-1.9452360793948174,0.0013886883,0.2,0.0,4,-0.0038455101603176445,0.053872224409133196,0.0003
70.94736842105263,0.32200000000000006,1,2946,3,3072,0.08245813846588135,0.002323480322957039,-1.941161647439003,0.00107477,0.2,0.0,8,-0.0006605045346077532,0.03567310993093997,0.0003
71.86274509803921,0.3120588235294118,1,3420,4,4096,0.18060100078582764,-0.00273334514349699,-1.9344827011227608,0.0018079182,0.2,0.0,12,-0.0021798514353577048,0.04158491699490696,0.0003
70.92424242424242,0.31925757575757574,1,3779,5,5120,0.27493661642074585,-0.008817672729492188,-1.9224414229393005,0.0007753306,0.2,0.0,16,-0.0004031662247143686,0.02687895903363824,0.0003
66.4367816091954,0.36183908045977015,1,4063,6,6144,0.25377774238586426,-0.013858293183147907,-1.9157564043998718,0.002124904,0.2,0.0,20,-0.0021693049638997763,0.0302076602820307,0.0003
64.86,0.37826,1,4286,7,7168,0.15530157089233398,-0.006562333554029465,-1.8847881779074669,0.0058714044,0.2,0.004638671875,24,-0.004145231607253663,0.043114371597766876,0.0003
61.46,0.41486000000000006,2,3394,8,8192,0.08651882410049438,-0.011872401461005211,-1.8082610368728638,0.015630472,0.2,0.127197265625,28,-0.010425158543512225,0.032128599123097956,0.0003
60.4,0.42339999999999994,2,3584,9,9216,0.1990305781364441,-0.014205101877450943,-1.7800781950354576,0.0027203714,0.2,0.0,32,-0.0018364625284448266,0.0175827830680646,0.0003
54.14,0.48574000000000006,2,3752,10,10240,0.27365732192993164,-0.010105278342962265,-1.7974578812718391,0.0015426098,0.2,0.0,36,-0.000842284644022584,0.01642471388913691,0.0003
53.75,0.49125,2,3900,11,11264,0.19531351327896118,-0.0032605817541480064,-1.768139772117138,0.0027047643,0.2,0.0,40,-0.0017264777852687985,0.02662770519964397,0.0003
50.55,0.52405,3,4034,12,12288,0.29695600271224976,-0.020186183974146843,-1.7144002616405487,0.004639673,0.2,0.015380859375,44,-0.0032231642690021545,0.018636186723597348,0.0003
47.28,0.55548,3,4145,13,13312,0.24483394622802734,-0.017034441232681274,-1.664865367114544,0.003789382,0.2,0.0029296875,48,-0.002843989059329033,0.021687212050892413,0.0003
42.95,0.59945,3,4247,14,14336,0.2332780957221985,-0.015990765765309334,-1.5840971991419792,0.0034434376,0.2,0.0,52,-0.0020555603550747037,0.01970632333541289,0.0003
43.03,0.60073,3,4345,15,15360,0.2568231225013733,-0.00621368084102869,-1.5400572940707207,0.0021858583,0.2,0.0,56,-0.001415107151842676,0.023439832031726837,0.0003
41.69,0.6147900000000001,4,3849,16,16384,0.16783106327056885,-0.013136694207787514,-1.5030988305807114,0.0014692715,0.2,0.0,60,-0.0008383185195270926,0.01614993961993605,0.0003
43.22,0.60102,4,3944,17,17408,0.182289719581604,-0.013082748278975487,-1.4528607726097107,0.002039785,0.2,0.0,64,-0.0017849407740868628,0.014023860159795731,0.0003
