time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/clip_range
18432,4,51.59,3848,18,0.51169,0.1895708441734314,-1.433851346373558,0.008971394825493917,-0.0013167173019610345,0.0003,68,-0.01208738423883915,0.0,0.0022095726,0.2
19456,4,47.38,3930,19,0.55258,0.18883287906646729,-1.430032804608345,0.012002834293525666,-0.0006455093098338693,0.0003,72,-0.013704483397305012,0.0,0.0015647758,0.2
20480,5,42.51,4009,20,0.60041,0.11818891763687134,-1.488141342997551,0.02679042425006628,-0.0006620603671763092,0.0003,76,-1.8613412976264954e-05,0.0,0.0010703563,0.2
21504,5,39.58,4084,21,0.6287799999999999,0.2313690185546875,-1.4478311464190483,0.015152247855439782,-0.002691428817342967,0.0003,80,-0.014253071509301662,0.0,0.0032019315,0.2
22528,5,38.24,4152,22,0.64184,0.08217871189117432,-1.3549680784344673,0.015843425411731005,-0.00429791837814264,0.0003,84,-0.005110437981784344,0.018310546875,0.005526785,0.2
23552,5,33.92,4217,23,0.6837199999999999,0.21437346935272217,-1.2291370779275894,0.019128532032482326,-0.0038777586014475673,0.0003,88,-0.00678253173828125,0.017822265625,0.007953179,0.2
24576,6,30.26,3877,24,0.7216600000000001,0.2825397253036499,-1.1302928179502487,0.01960587955545634,-0.005135668849106878,0.0003,92,-0.014429636299610138,0.02197265625,0.0045229946,0.2
25600,6,29.93,3939,25,0.7256299999999999,0.13927268981933594,-1.1212030202150345,0.016397055354900658,-0.0026575546944513917,0.0003,96,-0.00825066864490509,0.024658203125,0.004968461,0.2
26624,6,32.6,4000,26,0.7016,-0.02796638011932373,-1.1084924712777138,0.016263183730188757,-0.0018143452471122146,0.0003,100,-0.012121947482228279,0.0,0.0029846714,0.2
27648,6,35.88,4057,27,0.6690799999999999,0.024350523948669434,-1.0272397845983505,0.010515865636989474,-0.000434888614108786,0.0003,104,-0.0058954269625246525,0.0,0.0024432552,0.2
28672,6,36.09,4110,28,0.6681899999999998,0.051586151123046875,-1.0461582317948341,0.015875885961577296,-0.002410686545772478,0.0003,108,-0.012481321580708027,0.01123046875,0.004453672,0.2
29696,7,39.87,4163,29,0.6301700000000001,0.12601906061172485,-1.1455655544996262,0.014767723623663187,-0.0011307172826491296,0.0003,112,-0.0060250647366046906,0.001708984375,0.0062792064,0.2
30720,7,38.26,4211,30,0.64566,0.025932013988494873,-1.1973686888813972,0.008975466393167153,-0.00043286490836180747,0.0003,116,-0.00514754094183445,0.0,0.00078850606,0.2
31744,7,38.24,4257,31,0.64684,0.048879265785217285,-1.1914778277277946,0.015620760037563741,-0.0016722323489375412,0.0003,120,-0.018978744745254517,0.002685546875,0.0014107893,0.2
32768,8,34.11,3990,32,0.6860099999999999,0.09389197826385498,-1.2827132269740105,0.018164450826589018,-0.002003538596909493,0.0003,124,-0.005167821422219276,0.00537109375,0.0051297117,0.2
33792,8,34.63,4037,33,0.6793300000000001,0.031489551067352295,-1.3619472905993462,0.020679524983279407,-0.0007828698144294322,0.0003,128,-0.011492078192532063,0.0,0.0030887108,0.2
34816,8,34.08,4079,34,0.6882799999999999,-0.032035231590270996,-1.4037759229540825,0.012125882669351995,-0.0020867696148343384,0.0003,132,-0.0200023353099823,0.0,0.003492705,0.2
35840,8,33.68,4121,35,0.6928799999999999,0.07600361108779907,-1.248748280107975,0.020018008654005826,-0.010270438069710508,0.0003,136,-0.0037284595891833305,0.23291015625,0.024950784,0.2
36864,8,35.41,4162,36,0.6773100000000001,0.13756972551345825,-1.194775678217411,0.021272039972245693,-0.0011035312491003424,0.0003,140,0.0015039201825857162,0.007080078125,0.0016910844,0.2
37888,9,31.83,4200,37,0.7095299999999999,0.1683456301689148,-1.2701947018504143,0.01128146966220811,-0.001326380399405025,0.0003,144,-0.010819429531693459,0.0,0.0021610453,0.2
38912,9,36.26,4238,38,0.66566,0.22128623723983765,-1.243728555738926,0.018840156437363476,-0.005975225823931396,0.0003,148,-0.03253971412777901,0.0224609375,0.0071121394,0.2
39936,9,39.15,4274,39,0.6386499999999999,-0.1392207145690918,-1.1709178537130356,0.010467250365763903,-0.001963642003829591,0.0003,152,-0.005961686372756958,0.0126953125,0.0031965268,0.2
40960,10,39.46,4051,40,0.6338600000000002,0.03709304332733154,-1.1184068098664284,0.015705400379374623,-0.0003196381439920515,0.0003,156,-0.005362106487154961,0.0,0.0004549272,0.2
41984,10,42.48,4087,41,0.6066799999999999,0.0859559178352356,-1.1036696285009384,0.013649495725985616,-0.0009822168503887951,0.0003,160,-0.00967647135257721,0.0,0.0008390998,0.2
43008,10,39.86,4122,42,0.6312599999999999,0.10209304094314575,-1.082170121371746,0.014749553229194134,-7.62316194595769e-05,0.0003,164,-0.001896279864013195,0.0,0.0008175783,0.2
44032,10,36.38,4157,43,0.6645800000000002,0.17382442951202393,-1.0863221138715744,0.02061172085814178,-0.0005757492726843338,0.0003,168,-0.006615004502236843,0.0,0.00093274587,0.2
45056,10,36.23,4189,44,0.6679299999999998,0.19079101085662842,-1.1009378209710121,0.018683123285882175,-0.0006260906666284427,0.0003,172,-0.004780427552759647,0.0,0.0008728115,0.2
46080,10,31.08,4219,45,0.7172800000000001,0.19700711965560913,-1.0266921892762184,0.012755319708958268,-0.0010202745033893734,0.0003,176,-0.008759167045354843,0.0,0.0032989283,0.2
47104,11,29.87,4251,46,0.7301700000000001,0.19379687309265137,-1.010601058602333,0.01979476783890277,-0.0016517603653483093,0.0003,180,-0.0048802681267261505,0.0,0.002738219,0.2
48128,11,27.95,4281,47,0.7464499999999998,0.14601296186447144,-1.0887619256973267,0.018947999575175345,0.0005747405521105975,0.0003,184,0.0009702388197183609,0.0,0.0031343899,0.2
49152,12,27.76,4091,48,0.74816,0.23680967092514038,-1.0578784719109535,0.01837546704337001,-0.0020262253237888217,0.0003,188,-0.002203536219894886,0.002197265625,0.003928027,0.2
50176,12,26.63,4121,49,0.75833,0.11510217189788818,-0.9745302312076092,0.019824698800221086,-0.0004173399065621197,0.0003,192,-0.00011823698878288269,0.0,0.00023798377,0.2
51200,12,23.39,4150,50,0.78649,0.21167045831680298,-1.009940978139639,0.015711382788140327,-0.0002770611026789993,0.0003,196,-0.005342655815184116,0.0,0.0010533279,0.2
