rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates
0.3937692307692308,0,1,1024,1246,62.23076923076923,,,,,,,,,,
0.3421923076923077,0,2,2048,2093,67.96153846153847,-0.07718038558959961,0.2,-1.9453035593032837,0.0003,0.0013977953,0.011704309494234622,0.0,-0.004133572132559493,-0.018103107810020447,4
0.33180487804878045,1,3,3072,2718,69.36585365853658,-0.007112979888916016,0.2,-1.941106654703617,0.0003,0.0018638071,0.00492462664260529,0.0,-0.002487171586835757,-0.023420944809913635,8
0.3494210526315789,1,4,4096,3192,68.19298245614036,-0.04429364204406738,0.2,-1.9291761666536331,0.0003,0.004393647,0.0069744784268550575,0.0,-0.004405201849294826,-0.028150632977485657,12
0.34687142857142855,1,5,5120,3567,68.44285714285714,0.09684276580810547,0.2,-1.8986757770180702,0.0003,0.005636934,0.010421196988318115,0.0,-0.0024545349879190326,-0.024777714163064957,16
0.3549318181818182,1,6,6144,3870,67.88636363636364,0.047640442848205566,0.2,-1.8542757406830788,0.0003,0.006998837,0.00791757128899917,0.0,-0.0040939428872661665,-0.02612798474729061,20
0.35372,1,7,7168,4113,67.92,0.010512948036193848,0.2,-1.7999981120228767,0.0003,0.004254063,0.00957544764969498,0.0,-0.0018608108948683366,-0.02020501159131527,24
0.36583000000000004,2,8,8192,3343,67.13,0.053297460079193115,0.2,-1.7634179294109344,0.0003,0.0026204688,0.010207688639638945,0.0,-0.0019776934350375086,-0.017273282632231712,28
0.43573,2,9,9216,3523,60.03,0.007513105869293213,0.2,-1.7420674115419388,0.0003,0.003464,0.0087213869264815,0.0,-0.002560057124355808,-0.017181215807795525,32
0.44284000000000007,2,10,10240,3691,59.24,0.16699117422103882,0.2,-1.7453426122665405,0.0003,0.004337522,0.021023647510446608,0.0,-0.004563395326840691,-0.016971031203866005,36
0.47553000000000006,2,11,11264,3838,55.83,0.16592305898666382,0.2,-1.7247282043099403,0.0003,0.0014875479,0.012833543703891337,0.0,-0.0004904833185719326,-0.01353565976023674,40
