time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
15360,15,2910,5,0.0,0.2,0.0001668873319431441,0.001182789,0.8241935968399048,-1.9164234772324562,-0.0011765113740693778,56,0.0003,-0.024074286222457886,324.0,0.0
16384,16,2992,5,0.0,0.2,0.00044164314567751717,0.003441094,0.3608399033546448,-1.919892355799675,-0.003202152089215815,60,0.0003,-0.027291826903820038,324.0,0.0
17408,17,3070,5,0.0,0.2,0.0002926620645666844,0.0016889215,0.6942983865737915,-1.9341171383857727,-0.0012262322707101703,64,0.0003,-0.023443961516022682,324.0,0.0
18432,18,3141,5,0.0,0.2,0.0002083650051645236,0.00019265339,0.7393854856491089,-1.9332801178097725,4.007847746834159e-05,68,0.0003,-0.020259840413928032,324.0,0.0
19456,19,3208,6,0.0,0.2,0.00018145721332984976,0.000229417,0.790894627571106,-1.9353022873401642,-0.0002894169883802533,72,0.0003,-0.021231189370155334,324.0,0.0
20480,20,3271,6,0.0,0.2,0.00014282749680205598,0.00025078602,0.5823352336883545,-1.93690887093544,-0.0006891170050948858,76,0.0003,-0.02220277301967144,321.43859649122805,0.00886940350877193
21504,21,3330,6,0.0,0.2,0.0017217736058228184,0.00044091215,0.04713892936706543,-1.9367660805583,-0.0010777069837786257,80,0.0003,-0.022442834451794624,321.71875,0.0078993125
22528,22,3385,6,0.0,0.2,0.00020440920616238145,0.0005668711,0.8678935766220093,-1.935436449944973,-0.0007428278331644833,84,0.0003,-0.020318610593676567,321.75384615384615,0.007777784615384615
23552,23,3438,6,0.0,0.2,0.00021695407849620096,0.0006902648,0.8276501297950745,-1.9346944242715836,-0.0011149594793096185,88,0.0003,-0.019442565739154816,321.97222222222223,0.007021611111111111
24576,24,3488,7,0.0,0.2,0.0002349347569179372,0.0012327535,0.7705243229866028,-1.9292789474129677,-0.0008055790385697037,92,0.0003,-0.021311426535248756,321.97222222222223,0.007021611111111111
25600,25,3535,7,0.0,0.2,0.00015165967170105432,0.00044137106,0.6916844844818115,-1.9220107421278954,-5.3452400607056916e-05,96,0.0003,-0.021148426458239555,322.0,0.006925424657534247
26624,26,3578,7,0.0,0.2,0.0002600347397674341,0.0013318982,0.38222402334213257,-1.9265410676598549,-0.0020540832192637026,100,0.0003,-0.02688463218510151,322.175,0.00631945
27648,27,3618,7,0.0029296875,0.2,7.626877118127595e-05,0.0028299156,0.7777835130691528,-1.9373500347137451,-0.0030420339026022702,104,0.0003,-0.02457602694630623,320.5121951219512,0.012127378048780488
28672,28,3657,7,0.0,0.2,0.001766060318914242,0.00063632696,-0.07468020915985107,-1.9413622170686722,-0.0001811879046726972,108,0.0003,-0.01906920038163662,320.75,0.011300511363636363
29696,29,3695,8,0.0,0.2,0.00013797254132441594,0.0009073107,0.8083004951477051,-1.9415577203035355,-0.0021751340245828032,112,0.0003,-0.024497121572494507,320.75,0.011300511363636363
30720,30,3731,8,0.0,0.2,0.00010720015143306227,0.00037901942,0.85053950548172,-1.9404371231794357,6.82953541399911e-05,116,0.0003,-0.01914561726152897,320.8222222222222,0.01104938888888889
31744,31,3764,8,0.0,0.2,8.91912229690206e-05,0.0006368856,0.826729953289032,-1.9416319131851196,-0.0015101105527719483,120,0.0003,-0.017703715711832047,321.0208333333333,0.010358802083333334
32768,32,3795,8,0.0,0.2,6.179770934977569e-05,0.00094598165,0.8037235736846924,-1.9398955628275871,-0.0013392718392424285,124,0.0003,-0.025490261614322662,321.0816326530612,0.010147397959183674
33792,33,3826,8,0.0,0.2,8.695748374520917e-05,0.0001929134,0.6991119384765625,-1.9355570897459984,1.6947335097938776e-05,128,0.0003,-0.01878424361348152,320.9,0.01161112
34816,34,3856,9,0.0,0.2,0.00029935850670881337,0.0016262427,0.673276424407959,-1.938546672463417,-0.0022490516275865957,132,0.0003,-0.020649226382374763,320.9,0.01161112
35840,35,3884,9,0.0,0.2,6.851488205938949e-05,0.00029496377,0.9088212251663208,-1.9408807754516602,-0.00036322628147900105,136,0.0003,-0.021533768624067307,320.9,0.01161112
36864,36,3911,9,0.0,0.2,0.00014037902701602434,0.0003272884,0.5792331695556641,-1.9415607452392578,-0.0009921274322550744,140,0.0003,-0.022541571408510208,320.9,0.01161112
37888,37,3937,9,0.0,0.2,8.061800986070011e-05,0.00028087088,0.6618521809577942,-1.9400496184825897,-0.00025689051835797727,144,0.0003,-0.021625055000185966,320.9,0.01161112
38912,38,3961,9,0.0,0.2,4.7219530870279414e-05,0.0005229796,0.7029483914375305,-1.9372918233275414,-0.0007227543101180345,148,0.0003,-0.024568457156419754,319.96,0.015222230000000002
39936,39,3986,10,0.000244140625,0.2,0.0009560741891618818,0.0035212885,0.01497507095336914,-1.9288373216986656,-0.004446982784429565,152,0.0003,-0.02531210146844387,319.96,0.015222230000000002
40960,40,4011,10,0.0,0.2,6.130086376288091e-05,0.002801972,0.5667810440063477,-1.9061385691165924,-0.0008971796778496355,156,0.0003,-0.016967233270406723,319.96,0.015222229999999998
41984,41,4034,10,0.0,0.2,0.00012630908167921007,0.0021160764,0.8599343299865723,-1.882439449429512,-0.0014717115845996886,160,0.0003,-0.021288858726620674,319.85,0.01652779
43008,42,4056,10,0.0,0.2,0.00018735777985057211,0.0020551488,0.8138384222984314,-1.8644699156284332,-0.001284756071981974,164,0.0003,-0.022055326029658318,319.85,0.01652779
44032,43,4079,10,0.0,0.2,8.29756918392377e-05,0.0006724334,0.9136797189712524,-1.8444653525948524,-0.0003850156208500266,168,0.0003,-0.022730469703674316,319.85,0.01652779
45056,44,4100,10,0.0,0.2,8.527392947144108e-05,0.00091625703,0.821274995803833,-1.8519387021660805,-0.0007213991484604776,172,0.0003,-0.01823877915740013,317.71,0.023472229999999997
46080,45,4121,11,0.0,0.2,0.0029527269580285065,0.0029759468,0.13566523790359497,-1.8381201028823853,-0.0027389269089326262,176,0.0003,-0.024171728640794754,317.71,0.02347223
47104,46,4140,11,0.0,0.2,0.00011371019945727312,0.0014113784,0.6810823678970337,-1.8131685554981232,-0.0010130310256499797,180,0.0003,-0.01879149116575718,317.71,0.02347223
48128,47,4159,11,0.0,0.2,9.568361838319106e-05,0.0015691983,0.914505660533905,-1.8418829590082169,-0.00013301563740242273,184,0.0003,-0.015041892416775227,317.71,0.02347223
49152,48,4177,11,0.0,0.2,7.13036288289004e-05,0.00063174625,0.9076813459396362,-1.8508619219064713,-0.00030666147358715534,188,0.0003,-0.0199853777885437,317.71,0.023472229999999997
50176,49,4196,11,0.0,0.2,7.071279378578765e-05,0.00096793287,0.8933404684066772,-1.8401473611593246,-0.0008462705591227859,192,0.0003,-0.022005213424563408,316.94,0.02661112
51200,50,4212,12,0.0,0.2,0.0004617739687091671,0.0009130966,0.6783292293548584,-1.8585899099707603,6.478999421233311e-05,196,0.0003,-0.01957518234848976,317.03,0.02636112
52224,51,4228,12,0.0,0.2,0.0011426888850110117,0.0014397155,0.5693106055259705,-1.8565938621759415,-0.001362622802844271,200,0.0003,-0.02119763009250164,316.35,0.02925001
53248,52,4244,12,0.0,0.2,0.0003748415429072338,0.0014933067,0.6587872505187988,-1.8565249666571617,-0.0011879024968948215,204,0.0003,-0.01893027126789093,314.0,0.036777790000000005
54272,53,4260,12,0.0,0.2,0.001469286506107892,0.0010874608,0.2812313437461853,-1.8683808222413063,-0.0009685375553090125,208,0.0003,-0.020840339362621307,314.0,0.036777790000000005
55296,54,4275,12,0.0,0.2,0.00013728882004215848,0.0010137476,0.6597965955734253,-1.847857192158699,-0.00037317464011721313,212,0.0003,-0.017848636955022812,314.0,0.036777790000000005
56320,55,4290,13,0.023193359375,0.2,0.00013787014586341684,0.007716881,0.8966286182403564,-1.8210407942533493,-0.0046170634450390935,216,0.0003,-0.030918661504983902,311.69,0.044194460000000005
57344,56,4304,13,0.0,0.2,0.0032889831927604973,0.0041949525,-0.11142432689666748,-1.7411482706665993,-0.003003525867825374,220,0.0003,-0.024586232379078865,311.69,0.044194460000000005
58368,57,4317,13,0.0,0.2,0.00014503285274258815,0.0018891466,0.786104142665863,-1.7189771607518196,-0.0003482936881482601,224,0.0003,-0.021042900159955025,310.37,0.04986113
59392,58,4330,13,0.0,0.2,0.0008565344414819265,0.0032120899,0.4541980028152466,-1.7535447776317596,-0.001548221247503534,228,0.0003,-0.025131436064839363,308.79,0.05525002
60416,59,4344,13,0.02294921875,0.2,0.0031718708050902933,0.005162501,0.3712214231491089,-1.7872271537780762,-0.0030415587389143184,232,0.0003,-0.03008294105529785,308.79,0.05525002
61440,60,4356,14,0.006591796875,0.2,0.00037284649442881346,0.0059924396,0.9135276675224304,-1.8321181684732437,-0.003540878533385694,236,0.0003,-0.02489016205072403,308.79,0.05525002
62464,61,4368,14,0.0,0.2,0.00029582574916275917,0.0018464918,0.9233144521713257,-1.8701490983366966,-0.0011986157624050975,240,0.0003,-0.023680714890360832,308.79,0.055250020000000004
63488,62,4379,14,0.0,0.2,0.0001711614463602018,0.0021792261,0.9349410533905029,-1.8704085275530815,-0.0010749522916739807,244,0.0003,-0.023636693134903908,308.2,0.05788891
64512,63,4389,14,0.0,0.2,0.0002834112901837216,0.0022611108,0.8939478993415833,-1.8739098533988,-0.0018678659398574382,248,0.0003,-0.02278853952884674,308.44,0.05622223999999999
65536,64,4400,14,0.0,0.2,7.826032674529415e-05,0.0038034946,0.9525511264801025,-1.8822627067565918,-0.0037231961032375693,252,0.0003,-0.025959203019738197,308.44,0.05622223999999999
66560,65,4412,15,0.0,0.2,6.297241679931176e-05,0.0019157634,0.9538763761520386,-1.8971544057130814,-0.00010618461237754673,256,0.0003,-0.022486083209514618,308.23,0.057805569999999994
67584,66,4423,15,0.0,0.2,0.0002691290751499764,0.0022356259,0.8147977590560913,-1.8940168768167496,-0.002455521695083007,260,0.0003,-0.020127590745687485,308.23,0.057805569999999994
68608,67,4433,15,0.0,0.2,6.064375975256553e-05,0.0012262489,0.8803719282150269,-1.8732202872633934,-0.0008284070936497301,264,0.0003,-0.023122675716876984,308.23,0.05780557
69632,68,4442,15,0.0,0.2,0.000468415815703338,0.0039209523,0.4389214515686035,-1.8766219690442085,-0.004216936955344863,268,0.0003,-0.03021932765841484,306.64,0.06222224
70656,69,4452,15,0.0,0.2,0.003500071594316978,0.003129134,0.2579374313354492,-1.8444845899939537,-0.000544017122592777,272,0.0003,-0.020084064453840256,303.35,0.07336113
71680,70,4461,16,0.0,0.2,0.0033225833903998137,0.0018382805,0.3496658205986023,-1.8343812078237534,-0.001660816604271531,276,0.0003,-0.018077172338962555,301.59,0.07825001
72704,71,4469,16,0.0,0.2,0.0021271647565299645,0.00067986967,0.43239331245422363,-1.8544325977563858,-0.0006841912399977446,280,0.0003,-0.023591963574290276,301.59,0.07825001
73728,72,4478,16,0.0,0.2,0.0003367288345543784,0.0028373704,0.4573884606361389,-1.8307596445083618,-0.0018533252587076277,284,0.0003,-0.013053185306489468,301.59,0.07825001000000001
74752,73,4485,16,0.0,0.2,0.00019346762110217242,0.00088863925,0.6742329597473145,-1.8047050833702087,-0.0011782739020418376,288,0.0003,-0.019505029544234276,299.8,0.08522223999999999
75776,74,4494,16,0.0,0.2,0.001183166199552943,0.0037275248,0.656721830368042,-1.7895337417721748,-0.0031566535762976855,292,0.0003,-0.018977563828229904,298.46,0.08994446
76800,75,4502,17,0.0,0.2,0.0009248477908840869,0.0049748993,0.5841065645217896,-1.7183642461895943,-0.001860530421254225,296,0.0003,-0.025403043255209923,297.8,0.09277778999999998
77824,76,4510,17,0.017822265625,0.2,0.00042228858728776686,0.0044126157,0.7799941897392273,-1.710900917649269,-0.005687711760401726,300,0.0003,-0.031461652368307114,295.79,0.10036112
78848,77,4519,17,0.0,0.2,0.0008701351362105925,0.0033396077,0.8449721932411194,-1.7778054550290108,-0.0016623586125206202,304,0.0003,-0.02919819764792919,293.88,0.10766667999999999
79872,78,4526,17,0.000732421875,0.2,0.001040603019646369,0.00244931,0.652485191822052,-1.8104083389043808,-0.0009367761958856136,308,0.0003,-0.023821018636226654,294.65,0.10452778999999998
80896,79,4534,17,0.0,0.2,0.00033927671756828204,0.0007367868,0.728413999080658,-1.8285533264279366,-0.0009898891730699688,312,0.0003,-0.021726572886109352,293.45,0.10786112
81920,80,4542,18,0.0,0.2,0.002797944711346645,0.0017792098,0.37899619340896606,-1.8192759975790977,-0.001529727509478107,316,0.0003,-0.01778186298906803,295.8,0.10033334
82944,81,4549,18,0.0,0.2,0.00031341334670287324,0.008271057,0.45930832624435425,-1.776931881904602,-0.005707974618417211,320,0.0003,-0.027090296149253845,293.97,0.10841667
83968,82,4557,18,0.0,0.2,0.0007400782669719774,0.002848872,0.5682199001312256,-1.6824497878551483,-0.0004741289812955074,324,0.0003,-0.022469621151685715,290.76,0.11933333999999998
84992,83,4564,18,0.0,0.2,0.0039168847288237885,0.0015885213,0.31519973278045654,-1.669255219399929,-0.0011428933357819915,328,0.0003,-0.021057482808828354,292.91,0.11336110999999999
86016,84,4571,18,0.0,0.2,0.0009312481597589795,0.0019010515,0.4311937689781189,-1.6320294290781021,-0.00019862220506183803,332,0.0003,-0.006613810081034899,290.62,0.12072222
87040,85,4576,19,0.00390625,0.2,0.0033582402029423974,0.0065781046,0.20023715496063232,-1.6425309926271439,-0.003606940765166655,336,0.0003,-0.018749644979834557,291.65,0.11686111
88064,86,4583,19,0.019287109375,0.2,0.00053502815990214,0.0038127112,0.8121061325073242,-1.7451307252049446,-0.002220549067715183,340,0.0003,-0.017476694658398628,292.54,0.11438889
89088,87,4590,19,0.0,0.2,0.0017097889867727645,0.004036802,0.5736136436462402,-1.7294909358024597,-0.0019102561345789582,344,0.0003,-0.024812310934066772,293.37,0.11108333
