time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
412,1024,1,2,,,,,,,,,,,,
762,2048,2,2,-0.022227179259061813,0.6882613301277161,0.0003,0.0,0.2,-0.0011576496908674017,0.00036455516,-1.9457535073161125,0.0033024586955434643,4,,
1065,3072,3,2,-0.022382043302059174,0.3470538258552551,0.0003,0.0,0.2,-0.0016377159918192774,0.0008123298,-1.9445883706212044,0.0045093996450304985,8,0.0,324.0
1329,4096,4,3,-0.020795535296201706,0.263958215713501,0.0003,0.0,0.2,-0.0005563304584939033,0.0005137433,-1.942199945449829,0.0035686974952113815,12,0.0,324.0
1560,5120,5,3,-0.021584996953606606,0.588765561580658,0.0003,0.0,0.2,-0.001075088104698807,0.0008985157,-1.939513936638832,0.0019090573987341486,16,0.0,324.0
1765,6144,6,3,-0.017928211018443108,0.0796356201171875,0.0003,0.0,0.2,-0.0005846908170497045,0.00039706286,-1.935533620417118,0.00213678563159192,20,0.0,324.0
1943,7168,7,3,-0.017906097695231438,0.6105846166610718,0.0003,0.0,0.2,-0.001391666242852807,0.0011684826,-1.9378872513771057,0.0010678692451620009,24,0.0,324.0
2107,8192,8,3,-0.018507611006498337,0.6926531791687012,0.0003,0.0,0.2,-0.000547923322301358,0.0005054874,-1.9417300894856453,0.0009444770657864865,28,0.0,324.0
2254,9216,9,4,-0.025287160649895668,0.44539809226989746,0.0003,0.0,0.2,-0.0022505897941300645,0.0011754397,-1.9416013285517693,0.0008176773262675852,32,0.0,324.0
2388,10240,10,4,-0.024757400155067444,0.7382895350456238,0.0003,0.0,0.2,-0.001209231762913987,0.0020514426,-1.9326932579278946,0.00039118332279031165,36,0.021794884615384615,318.9230769230769
2511,11264,11,4,-0.034440718591213226,-0.06622183322906494,0.0003,0.0,0.2,-0.003504510736092925,0.0024909042,-1.9214746803045273,0.0016049761470640078,40,0.01770834375,319.875
2619,12288,12,4,-0.02488058991730213,0.7187894582748413,0.0003,0.0,0.2,-0.0017118073301389813,0.002891852,-1.9059588313102722,0.00021764543726021657,44,0.017171727272727273,320.0
2726,13312,13,4,-0.022026002407073975,-0.023891329765319824,0.0003,0.0,0.2,-0.0025443241029279307,0.0039812215,-1.8896828889846802,0.0006922417851455975,48,0.014166675,320.7
2823,14336,14,5,-0.029492607340216637,0.3657178282737732,0.0003,0.0,0.2,-0.0016838613664731383,0.004368156,-1.8748945444822311,0.0007910807216831017,52,0.014166675,320.7
2915,15360,15,5,-0.02091837301850319,0.7163420915603638,0.0003,0.0,0.2,-0.0004919464117847383,0.0007701652,-1.8726465851068497,0.00026771101511258166,56,0.013821146341463416,320.780487804878
2996,16384,16,5,-0.030086450278759003,0.6364068984985352,0.0003,0.0,0.2,-0.0020030597515869886,0.0025529673,-1.8739121779799461,0.0003947503173549194,60,0.0118055625,321.25
3075,17408,17,5,-0.027762100100517273,0.7397593259811401,0.0003,0.031494140625,0.2,-0.005115334002766758,0.0071347523,-1.8468040153384209,0.00017666136318439385,64,0.0198889,319.0
3146,18432,18,5,-0.025572555139660835,-0.1130150556564331,0.0003,0.0,0.2,-0.0017184899697895162,0.0016741524,-1.8420239239931107,0.0015802028610778507,68,0.028216385964912282,316.36842105263156
3213,19456,19,6,-0.02600979246199131,0.3975367546081543,0.0003,0.0,0.2,-0.0019371716189198196,0.0026777,-1.8457920029759407,0.0020889869883831125,72,0.04891715254237289,310.0508474576271
3276,20480,20,6,-0.011994656175374985,0.22925174236297607,0.0003,0.1162109375,0.2,-0.004970396956196055,0.011462133,-1.781195543706417,0.004333150005550124,76,0.04810186666666667,310.28333333333336
3336,21504,21,6,-0.02147051692008972,0.7405019998550415,0.0003,0.06494140625,0.2,-0.005716194064007141,0.013597777,-1.8059772700071335,0.0002156195469069644,80,0.04440172307692308,311.33846153846156
3392,22528,22,6,-0.023808961734175682,0.7476022243499756,0.0003,0.0,0.2,-0.0022755633253837004,0.002334139,-1.8526565358042717,0.0003600002146413317,84,0.057579371428571426,307.3857142857143
3435,23552,23,6,-0.03640543669462204,0.4709913730621338,0.0003,0.004638671875,0.2,-0.004761747666634619,0.0059968317,-1.8393576592206955,0.002922044091974385,88,0.06614816,304.9866666666667
3476,24576,24,7,-0.012982388027012348,0.4917020797729492,0.0003,0.093505859375,0.2,-0.004434582486283034,0.011711217,-1.7572681233286858,0.002524672403524164,92,0.08751758227848101,298.4177215189873
3523,25600,25,7,-0.016260197386145592,0.323724627494812,0.0003,0.0,0.2,-0.0010311669175280258,0.0009783874,-1.711868777871132,0.006159318174468353,96,0.09386145679012345,296.4320987654321
3567,26624,26,7,-0.022076448425650597,0.23101454973220825,0.0003,0.0,0.2,-0.001589229956152849,0.0016931137,-1.6856157630681992,0.003084488351305481,100,0.09808429885057471,294.8965517241379
3612,27648,27,7,-0.02501501329243183,0.16233879327774048,0.0003,0.0,0.2,-0.0036822514375671744,0.0054092375,-1.6655718758702278,0.004697718679381069,104,0.09481482222222222,295.8666666666667
3652,28672,28,7,-0.015333259478211403,0.884314239025116,0.0003,0.0,0.2,-0.00018212990835309029,0.0014223538,-1.6120133250951767,0.0005276834690448595,108,0.09901434408602151,294.5483870967742
3687,29696,29,8,-0.01100669801235199,0.8547372817993164,0.0003,0.0,0.2,-0.0008822061208775267,0.0021117134,-1.6076849028468132,0.001229732617503032,112,0.1006802755102041,294.0
3722,30720,30,8,-0.014389780350029469,0.4193612337112427,0.0003,0.0,0.2,-0.0006381776693160646,0.001132698,-1.6110171675682068,0.0031112353390199132,116,0.10438889000000001,292.9
3760,31744,31,8,-0.0125516876578331,0.6092712879180908,0.0003,0.0,0.2,-0.0018779358360916376,0.0024905335,-1.5714381411671638,0.001689384320343379,120,0.10438889,292.9
3792,32768,32,8,-0.017346611246466637,0.8216314911842346,0.0003,0.0,0.2,-0.0006691489979857579,0.0009591757,-1.5600169375538826,0.00042736609793792013,124,0.11866666000000001,288.84
3828,33792,33,8,-0.015187668614089489,0.426092267036438,0.0003,0.000244140625,0.2,-0.0014553467917721719,0.0025012,-1.5891975238919258,0.00430776207940653,128,0.12794444,286.22
3860,34816,34,9,-0.009802219457924366,0.40500807762145996,0.0003,0.0341796875,0.2,-0.0038128001178847626,0.006729955,-1.6493103727698326,0.002597940227133222,132,0.13463888000000002,284.89
3891,35840,35,9,-0.03035857528448105,0.46275603771209717,0.0003,0.001708984375,0.2,-0.002678630407899618,0.002042084,-1.690050482749939,0.0011607082487898879,136,0.14205555,282.58
3921,36864,36,9,-0.01439193170517683,0.3039705753326416,0.0003,0.00634765625,0.2,-0.0002341399376746267,0.0017076337,-1.701957955956459,0.003335501671244856,140,0.14205555,282.58
3950,37888,37,9,-0.021977487951517105,0.7276202440261841,0.0003,0.0,0.2,-0.0027447000320535153,0.0032370007,-1.6752735525369644,0.00034926996886497363,144,0.14880554000000001,280.15
3976,38912,38,9,-0.011636823415756226,0.5253887176513672,0.0003,0.0,0.2,-0.0009581584890838712,0.0018360978,-1.6434289515018463,0.003393582082935609,148,0.15658332,277.71
4003,39936,39,9,-0.017416469752788544,0.32492631673812866,0.0003,0.0,0.2,-0.0016624045092612505,0.0023508058,-1.6259302124381065,0.003377413348061964,152,0.15658332000000003,277.71
4031,40960,40,10,-0.024696096777915955,0.7055579423904419,0.0003,0.0,0.2,-0.0019767681951634586,0.0035024153,-1.5443684309720993,0.0004642121548386058,156,0.16591666,275.07
