time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/clip_fraction,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate
22,22528,31.39,5,0.71649,4429,0.07507896423339844,84,0.01751790544949472,-0.002994818612933159,0.0029296875,0.0021791037,0.2,-0.0015185552765615284,-1.3274365812540054,0.0003
23,23552,35.46,5,0.67486,4500,0.1664731502532959,88,0.013838518527336419,-0.006234120577573776,0.0,0.0024131911,0.2,-0.0008041114488150924,-1.3723740801215172,0.0003
24,24576,37.34,5,0.6539400000000001,4158,0.1963469386100769,92,0.013430425489787012,-0.01754492148756981,0.0,0.0051673525,0.2,-0.00333528479677625,-1.3512585163116455,0.0003
25,25600,37.52,6,0.65232,4222,0.14022177457809448,96,0.013059527496807277,0.008817215450108051,0.030029296875,0.01258183,0.2,-0.0025195888883899897,-1.2558344975113869,0.0003
26,26624,39.29,6,0.63839,4284,0.1608700156211853,100,0.015673565270844847,-0.010628461837768555,0.0,0.004047419,0.2,-0.0018586400838103145,-1.1529491320252419,0.0003
27,27648,37.35,6,0.6588499999999999,4342,0.004373610019683838,104,0.0165987906511873,-0.007254055701196194,0.0,0.0009610943,0.2,-0.0010192260378971696,-1.099939540028572,0.0003
28,28672,40.71,6,0.62861,4400,0.1169973611831665,108,0.013150057231541723,-0.0059261019341647625,0.0,0.002297216,0.2,-0.0011802822118625045,-1.1254234164953232,0.0003
29,29696,36.38,6,0.6675800000000001,4455,-0.040279507637023926,112,0.009403245523571968,-0.016522511839866638,0.006103515625,0.0026206335,0.2,-0.002686369640287012,-1.1001094728708267,0.0003
30,30720,35.09,6,0.6781900000000001,4507,0.10485100746154785,116,0.02497568167746067,0.002921817824244499,0.00048828125,0.0057444973,0.2,-0.002694596740184352,-0.9986008107662201,0.0003
31,31744,27.33,6,0.75103,4550,0.17742598056793213,120,0.020116560976020992,0.001476944424211979,0.0,0.0006215133,0.2,-0.00021288561401888728,-0.9258740767836571,0.0003
32,32768,28.16,7,0.74356,4270,0.2381141185760498,124,0.01710181694943458,-0.00548019353300333,0.02880859375,0.004263265,0.2,-0.002914302865974605,-0.9494477733969688,0.0003
